state,pc_name,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors,Election Year
Andhra Pradesh,Adilabad ,GODAM NAGESH,Male,49,ST,TRS,Car,425762,5085,430847,1386282,2014
Andhra Pradesh,Adilabad ,NARESH,Male,37,ST,INC,Hand,257994,1563,259557,1386282,2014
Andhra Pradesh,Adilabad ,RAMESH RATHOD,Male,48,ST,TDP,Bicycle,182879,1319,184198,1386282,2014
Andhra Pradesh,Adilabad ,RATHOD SADASHIV,Male,55,ST,BSP,Elephant,94363,57,94420,1386282,2014
Andhra Pradesh,Adilabad ,NETHAWATH RAMDAS,Male,44,ST,IND,Auto- Rickshaw,41028,4,41032,1386282,2014
Andhra Pradesh,Adilabad ,PAWAR KRISHNA,Male,33,ST,IND,Bat,5051,4,5055,1386282,2014
Andhra Pradesh,Adilabad ,BANKA SAHADEV,Male,53,ST,IND,Gas Cylinder,4780,7,4787,1386282,2014
Andhra Pradesh,Adilabad ,MOSALI CHINNAIAH,Male,40,ST,IND,Almirah,8842,17,8859,1386282,2014
Andhra Pradesh,Adilabad ,None of the Above,,,,NOTA,NOTA,17021,63,17084,1386282,2014
Andhra Pradesh,Peddapalle ,DR.JANAPATI SARAT BABU,Male,42,SC,TDP,Bicycle,63174,160,63334,1425355,2014
Andhra Pradesh,Peddapalle ,TAGARAM SHANKAR LAL,Male,37,SC,BSP,Elephant,9430,19,9449,1425355,2014
Andhra Pradesh,Peddapalle ,BALKA SUMAN,Male,31,SC,TRS,Car,563214,2282,565496,1425355,2014
Andhra Pradesh,Peddapalle ,G. VIVEKANAND,Male,56,SC,INC,Hand,273441,897,274338,1425355,2014
Andhra Pradesh,Peddapalle ,KALVALA SHANKAR,Male,44,SC,PPOI,Television,9288,2,9290,1425355,2014
Andhra Pradesh,Peddapalle ,KALVALA SANJEEV,Male,37,SC,RPI,Sewing Machine,8609,0,8609,1425355,2014
Andhra Pradesh,Peddapalle ,BOTHA VENKATA MALLAIAH,Male,58,SC,BCUF,Chappals,2245,0,2245,1425355,2014
Andhra Pradesh,Peddapalle ,J.V. RAJU,Male,50,SC,NIP,Cup & Saucer,3020,0,3020,1425355,2014
Andhra Pradesh,Peddapalle ,VENKATA SWAMY INJAM,Male,42,SC,MaSP,Ring,3861,5,3866,1425355,2014
